Well	correct_name
A01	OtsAC16MCKR_0414
B01	OtsCC16MCKR_1037
C01	OtsAC16MCKR_0415
D01	OtsCC16MCKR_1048
E01	OtsAC16MCKR_0416
F01	OtsCC16MCKR_1049
G01	OtsAC16MCKR_0417
H01	OtsCC16MCKR_1314
I01	OtsAC16MCKR_0418
J01	OtsCC16MCKR_1322
K01	OtsAC16MCKR_0419
L01	OtsCC16MCKR_1324
M01	OtsAC16MCKR_0420
N01	OtsCC16MCKR_1329
O01	OtsAC16MCKR_0421
P01	OtsCC16MCKR_1335
A02	OtsAC17MCKR_0083
B02	OtsAC17MCKR_0177
C02	OtsAC17MCKR_0084
D02	OtsAC17MCKR_0178
E02	OtsAC17MCKR_0085
F02	OtsAC17MCKR_0179
G02	OtsAC17MCKR_0086
H02	OtsAC17MCKR_0180
I02	OtsAC17MCKR_0087
J02	OtsAC17MCKR_0181
K02	OtsAC17MCKR_0088
L02	OtsAC17MCKR_0182
M02	OtsAC17MCKR_0089
N02	OtsAC17MCKR_0183
O02	OtsAC17MCKR_0090
P02	OtsAC17MCKR_0184
A03	OtsAC16MCKR_0422
B03	OtsCC16MCKR_1337
C03	OtsAC16MCKR_0423
D03	OtsCC16MCKR_1343
E03	OtsAC16MCKR_0424
F03	OtsCC16MCKR_1345
G03	OtsAC16MCKR_0425
H03	OtsCC16MCKR_1346
I03	OtsAC16MCKR_0426
J03	OtsAC17MCKR_0001
K03	OtsAC16MCKR_0427
L03	OtsAC17MCKR_0002
M03	OtsAC16MCKR_0428
N03	OtsAC17MCKR_0003
O03	OtsAC16MCKR_0429
P03	OtsAC17MCKR_0004
A04	OtsAC17MCKR_0091
B04	OtsAC17MCKR_0185
C04	OtsAC17MCKR_0092
D04	OtsAC17MCKR_0186
E04	OtsAC17MCKR_0093
F04	OtsAC17MCKR_0187
G04	OtsAC17MCKR_0094
H04	OtsAC17MCKR_0188
I04	OtsAC17MCKR_0095
J04	OtsAC17MCKR_0189
K04	OtsAC17MCKR_0096
L04	OtsAC17MCKR_0190
M04	OtsAC17MCKR_0097
N04	OtsAC17MCKR_0191
O04	OtsAC17MCKR_0098
P04	OtsAC17MCKR_0192
A05	OtsAC16MCKR_0430
B05	OtsAC17MCKR_0005
C05	OtsAC16MCKR_0431
D05	OtsAC17MCKR_0006
E05	OtsAC16MCKR_0432
F05	OtsAC17MCKR_0007
G05	OtsAC16MCKR_0433
H05	OtsAC17MCKR_0008
I05	OtsAC16MCKR_0434
J05	OtsAC17MCKR_0009
K05	OtsAC16MCKR_0435
L05	OtsAC17MCKR_0010
M05	OtsAC16MCKR_0436
N05	OtsAC17MCKR_0011
O05	OtsAC16MCKR_0437
P05	OtsAC17MCKR_0012
A06	OtsAC17MCKR_0099
B06	OtsAC17MCKR_0193
C06	OtsAC17MCKR_0100
D06	OtsAC17MCKR_0194
E06	OtsAC17MCKR_0101
F06	OtsAC17MCKR_0195
G06	OtsAC17MCKR_0102
H06	OtsAC17MCKR_0196
I06	OtsAC17MCKR_0103
J06	OtsAC17MCKR_0197
K06	OtsAC17MCKR_0104
L06	OtsAC17MCKR_0198
M06	OtsAC17MCKR_0105
N06	OtsAC17MCKR_0199
O06	OtsAC17MCKR_0106
P06	OtsAC17MCKR_0200
A07	OtsAC16MCKR_0438
B07	OtsAC17MCKR_0013
C07	OtsAC16MCKR_0439
D07	OtsAC17MCKR_0014
E07	OtsAC16MCKR_0440
F07	OtsAC17MCKR_0015
G07	OtsAC16MCKR_0441
H07	OtsAC17MCKR_0016
I07	OtsAC16MCKR_0442
J07	OtsAC17MCKR_0017
K07	OtsAC16MCKR_0443
L07	OtsAC17MCKR_0018
M07	OtsAC16MCKR_0444
N07	OtsAC17MCKR_0019
O07	OtsAC16MCKR_0445
P07	OtsAC17MCKR_0020
A08	OtsAC17MCKR_0107
B08	OtsAC17MCKR_0201
C08	OtsAC17MCKR_0108
D08	OtsAC17MCKR_0202
E08	OtsAC17MCKR_0109
F08	OtsAC17MCKR_0203
G08	OtsAC17MCKR_0110
H08	OtsAC17MCKR_0204
I08	OtsAC17MCKR_0111
J08	OtsAC17MCKR_0205
K08	OtsAC17MCKR_0112
