type	sample_id	date	origin	release	length	rkm	pheno_sex	geno_sex	recapture	floy1	floy2	Comments	comments	year	hmsc_id	sgs_reach	section	cand_parent
cougar_trap	OtsAC10SFMK_1001	2010-07-28	NOR	Hard Rock	78	17.2	M	M	NEW	"NA"	"NA"	"NA"	"NA"	2010	NA	NA	NA	TRUE
cougar_trap	OtsAC10SFMK_1002	2010-07-28	NOR	Hard Rock	NA	17.2	F	M	NEW	"NA"	"NA"	"NA"	"NA"	2010	NA	NA	NA	TRUE
cougar_trap	OtsAC10SFMK_1003	2010-07-28	NOR	Hard Rock	NA	17.2	M	M	NEW	"NA"	"NA"	"NA"	"NA"	2010	NA	NA	NA	TRUE
cougar_trap	OtsAC10SFMK_1004	2010-07-28	NOR	Hard Rock	NA	17.2	M	M	NEW	"NA"	"NA"	"NA"	"NA"	2010	NA	NA	NA	TRUE
cougar_trap	OtsAC10SFMK_1005	2010-07-28	NOR	Hard Rock	76.1	17.2	F	F	NEW	"NA"	"NA"	"NA"	"NA"	2010	NA	NA	NA	TRUE
cougar_trap	OtsAC10SFMK_1006	2010-07-28	NOR	Hard Rock	NA	17.2	M	M	NEW	"NA"	"NA"	"NA"	"NA"	2010	NA	NA	NA	TRUE
cougar_trap	OtsAC10SFMK_1007	2010-07-28	NOR	Hard Rock	74.5	17.2	F	F	NEW	"NA"	"NA"	"NA"	"NA"	2010	NA	NA	NA	TRUE
cougar_trap	OtsAC10SFMK_1008	2010-07-28	NOR	Hard Rock	NA	17.2	F	F	NEW	"NA"	"NA"	"NA"	"NA"	2010	NA	NA	NA	TRUE
cougar_trap	OtsAC10SFMK_1009	2010-07-28	NOR	Hard Rock	NA	17.2	M	M	NEW	"NA"	"NA"	"NA"	"NA"	2010	NA	NA	NA	TRUE
cougar_trap	OtsAC10SFMK_1010	2010-07-28	NOR	Hard Rock	78.5	17.2	M	M	NEW	"NA"	"NA"	"NA"	"NA"	2010	NA	NA	NA	TRUE
cougar_trap	OtsAC10SFMK_1011	2010-07-28	NOR	Hard Rock	77.5	17.2	M	M	NEW	"NA"	"NA"	"NA"	"NA"	2010	NA	NA	NA	TRUE
cougar_trap	OtsAC10SFMK_1012	2010-07-28	NOR	Hard Rock	76.5	17.2	F	F	NEW	"NA"	"NA"	"NA"	"NA"	2010	NA	NA	NA	TRUE
