Pedigree	SFGL_ID	SEQ #	Survey Date	River	Survey Type	Crew Initials	Crew Initials	Start Time	End Time	Water Temp	Reach	Fish ID	Time Collected	Clipped (Y/N)	F.L (cm)	Sex (M/F)	DNA Sampled (Y/N)	Scale Sampled (Y/N)	Otolith (Y/N)	Egg Retention % (F only)	ODFW CWT number	Floy Tag (Y/N)	Floy tag color	Floy tag number	Comments	Entered By	Date Entered	Checked By	Date Checked
OtsCC19MCKR	OtsCC19MCKR_1852	1	7/4/2019	McKenzie	Raft	DA	EP	11:10	14:00	13.9	Deerhorn to Hendricks	1852	12:37	Y	74	M	Y	Y	N	N/A	19P_7900	N	N/A	N/A	19P_7900	MRM	1-Aug-19	BL	1-Aug-19
OtsCC19SSNT	OtsCC19SSNT_2120	2	7/24/2019	South Santiam	Raft	DA	CZ	10:00	11:50	10.5	Foster Dam to Pleasant Valley	2120	10:24	Y	84	F	Y	Y	N	100	N/A	N	N/A	N/A	LEFT SIDE MAXILLARY CLIP	MRM	1-Aug-19	BL	1-Aug-19
OtsCC19MCKR	OtsCC19MCKR_1360	3	8/1/2019	McKenzie	Raft	DA	BL	10:36	12:23	15.9	Leaberg Landing to Deerhorn	1360	12:02	Y	75	F	Y	Y	N	UNKNOWN	19P_7000	N	N/A	N/A	EGGS REMOVED	MRM	8-Aug-19	EP	13-Oct-19
OtsCC19NSNT	OtsCC19NSNT_2130	4	8/3/2019	North Santiam	IK	BL	CZ	11:27	13:27	12.5	Big Cliff Dam to Minto Dam	2130	11:54	N	81	M	Y	Y	Y	N/A	N/A	Y	UNKNOWN	283	Floy Tag 283,DNA from bottom of fin, top missing (floy tag color likely GREY or WHITE-MRM31oct19)	MP	8-Aug-19	MRM	17-Oct-19
OtsCC19NSNT	OtsCC19NSNT_2129	5	8/3/2019	North Santiam	IK	BL	CZ	13:27	13:45	13.5	Minto Dam to Packsaddle	2129	13:40	Y	90	F	Y	Y	N	100	N/A	N	N/A	N/A	DNA from lower fin, Top decomposed	MP	8-Aug-19	MRM	17-Oct-19
OtsCC19MCKR	OtsCC19MCKR_2128	6	8/5/2019	McKenzie	Raft	DA	CZ	11:32	13:56	12.0	Rosborro to Ben and Kay	2128	12:21	Y	86	F	Y	Y	N	UNKNOWN	N/A	Y	BLUE	840	USACE Floy Tag #0840, scavenged	MRM	8-Aug-19	EP	13-Oct-19
OtsCC19NSNT	OtsCC19NSNT_2119	7	8/6/2019	North Santiam	Raft	DA	CZ	10:05	11:25	12.3	Packsaddle to Gates Bridge	2119	10:55	Y	79	F	Y	Y	N	UNKNOWN	19P_8000	N	N/A	N/A	DNA from adipose regrowth	MP	8-Aug-19	MRM	17-Oct-19
OtsCC19SSNT	OtsCC19SSNT_2111	8	8/7/2019	South Santiam	Raft	MP	CZ	9:45	11:53	10.4	Foster Dam to Pleasant Valley	2111	10:08	N	89	M	Y	Y	Y	N/A	N/A	N	N/A	N/A		MP	8-Aug-19	MRM	17-Oct-19
OtsCC19MCKR	OtsCC19MCKR_1359	9	8/15/2019	McKenzie	Raft	BL	PH	11:25	14:00	15.8	Deerhorn to Hendricks	1359	13:00	Y	78	F	Y	Y	N	100	19P_7701	N	N/A	N/A		MRM	15-Aug-19	EP	13-Oct-19
OtsCC19SANT	OtsCC19SANT_2118	10	8/16/2019	Santiam	Raft	BL	PH	13:00	16:05	18.2	I-5 Bridge to Mouth	2118	13:30	Y	71	F	Y	Y	N	100	N/A	N	N/A	N/A	not fully developed eggs- very small	MP	21-Aug-19	MRM	17-Oct-19
