Pedigree	SFGL ID	CarStatus	LocationID	SubbasinID	RiverID	SectionID	AreaID	SubAreaID	SubBasin	Section	Area	SubArea	Date	SurvYear	SurvMonth	SurvDay	SurvDOY	Adipose	Sex	ForkLength	Spawn	VialNo	VialCapColor	ScaleNo	DNA	SnoutID	RadioTagNo	FloyColor	FloyNo	PITcode	CarComm	CarComm1	CarComm2	SFGL Box	Box ID
OtsCC16MCKR	OtsCC16MCKR_1001	A	1882387	18	82	387	21	24	McKenzie	Cougar Reservoir to Bridge	Downstream of Trail Bridge & Cougar Dams	Cougar Dam to Leaburg Dam	9/22/2016	2016	9	22	266	Unclipped	F	89	Y	1001	Clear	12952	Y		##.###							Ots0017	1
OtsCC16MCKR	OtsCC16MCKR_1002	A	1882388	18	82	388	21	24	McKenzie	Bridge to Mouth	Downstream of Trail Bridge & Cougar dams	Cougar Dam to Leaburg Dam	9/22/2016	2016	9	22	266	Unclipped	M	73		1002	Clear	12976	Y		##.###	Blue	1313					Ots0017	1
OtsCC16MCKR	OtsCC16MCKR_1003	A	1882387	18	82	387	21	24	McKenzie	Cougar Reservoir to Bridge	Downstream of Trail Bridge & Cougar Dams	Cougar Dam to Leaburg Dam	9/28/2016	2016	9	28	272	Unknown	F	81	Y	1003	Clear		Y		##.###					Damaged Adipose/Partial Clip	Only 1 Otolith Taken	Ots0017	1
OtsCC16MCKR	OtsCC16MCKR_1004	A	1882387	18	82	387	21	24	McKenzie	Cougar Reservoir to Bridge	Downstream of Trail Bridge & Cougar Dams	Cougar Dam to Leaburg Dam	9/29/2016	2016	9	29	273	Unclipped	M	80		1004	Clear	12966	Y		##.###							Ots0017	1
OtsCC16MCKR	OtsCC16MCKR_1005	A	1882387	18	82	387	21	24	McKenzie	Cougar Reservoir to Bridge	Downstream of Trail Bridge & Cougar Dams	Cougar Dam to Leaburg Dam	9/29/2016	2016	9	29	273	Unclipped	F	83	Y	1005	Clear	12968	Y		##.###							Ots0017	1
OtsCC16MCKR	OtsCC16MCKR_1006	A	1882387	18	82	387	21	24	McKenzie	Cougar Reservoir to Bridge	Downstream of Trail Bridge & Cougar Dams	Cougar Dam to Leaburg Dam	9/29/2016	2016	9	29	273	Unclipped	M	83		1006	Clear	12967	Y		##.###	Blue					"Broken  otoliths 

Blue floy tag number 5419372131150"	Ots0017	1
OtsCC16MCKR	OtsCC16MCKR_1007	A	1882388	18	82	388	21	24	McKenzie	Bridge to Mouth	Downstream of Trail Bridge & Cougar dams	Cougar Dam to Leaburg Dam	9/29/2016	2016	9	29	273	Unclipped	F	84	Y	1007	Clear	11445	Y		##.###							Ots0017	1
OtsCC16MCKR	OtsCC16MCKR_1008	A	1882388	18	82	388	21	24	McKenzie	Bridge to Mouth	Downstream of Trail Bridge & Cougar dams	Cougar Dam to Leaburg Dam	9/29/2016	2016	9	29	273	Unclipped	F	83	Y	1008	Clear	16618	Y		##.###							Ots0017	1
OtsCC16MCKR	OtsCC16MCKR_1009	A	1882388	18	82	388	21	24	McKenzie	Bridge to Mouth	Downstream of Trail Bridge & Cougar dams	Cougar Dam to Leaburg Dam	9/29/2016	2016	9	29	273	Unclipped	F	84	Y	1009	Clear	11446	Y		##.###	Blue	1639					Ots0017	1
OtsCC16MCKR	OtsCC16MCKR_1010	A	1882388	18	82	388	21	24	McKenzie	Bridge to Mouth	Downstream of Trail Bridge & Cougar dams	Cougar Dam to Leaburg Dam	9/29/2016	2016	9	29	273	Unclipped	M	81		1010	Clear	11441	Y		##.###					DNA taken but no otoliths	Could not find otoliths	Ots0017	1
OtsCC16MCKR	OtsCC16MCKR_1011	A	1882387	18	82	387	21	24	McKenzie	Cougar Reservoir to Bridge	Downstream of Trail Bridge & Cougar Dams	Cougar Dam to Leaburg Dam	9/22/2016	2016	9	22	266	Unclipped	F	88	Y	1011	Clear	12951	Y		##.###							Ots0017	1
OtsCC16MCKR	OtsCC16MCKR_1012	A	1882387	18	82	387	21	24	McKenzie	Cougar Reservoir to Bridge	Downstream of Trail Bridge & Cougar Dams	Cougar Dam to Leaburg Dam	10/6/2016	2016	10	6	280	Unclipped	F	84	Y	1012	Clear	17449	Y		##.###					1 otolith taken.		Ots0017	1
OtsCC16MCKR	OtsCC16MCKR_1013	A	1882387	18	82	387	21	24	McKenzie	Cougar Reservoir to Bridge	Downstream of Trail Bridge & Cougar Dams	Cougar Dam to Leaburg Dam	10/6/2016	2016	10	6	280	Unclipped	F	76	Y	1013	Clear	17450	Y		##.###							Ots0017	1
OtsCC16MCKR	OtsCC16MCKR_1015	A	1882387	18	82	387	21	24	McKenzie	Cougar Reservoir to Bridge	Downstream of Trail Bridge & Cougar Dams	Cougar Dam to Leaburg Dam	10/6/2016	2016	10	6	280	Unclipped	F	94	Y	1015	Clear	17451	Y		##.###							Ots0017	1
OtsCC16MCKR	OtsCC16MCKR_1016	A	1882388	18	82	388	21	24	McKenzie	Bridge to Mouth	Downstream of Trail Bridge & Cougar dams	Cougar Dam to Leaburg Dam	10/6/2016	2016	10	6	280	Unclipped	F	78	Y	1016	Clear	17452	Y		##.###							Ots0017	1
OtsCC16MCKR	OtsCC16MCKR_1021	A	1882387	18	82	387	21	24	McKenzie	Cougar Reservoir to Bridge	Downstream of Trail Bridge & Cougar Dams	Cougar Dam to Leaburg Dam	9/29/2016	2016	9	29	273	Unclipped	M	102		1021	Clear	17401	Y		##.###							Ots0017	1
OtsCC16MCKR	OtsCC16MCKR_1022	A	1882388	18	82	388	21	24	McKenzie	Bridge to Mouth	Downstream of Trail Bridge & Cougar dams	Cougar Dam to Leaburg Dam	9/29/2016	2016	9	29	273	Unclipped	F	86	Y	1022	Clear	17400	Y		##.###							Ots0017	1
OtsCC16MCKR	OtsCC16MCKR_1023	A	1882387	18	82	387	21	24	McKenzie	Cougar Reservoir to Bridge	Downstream of Trail Bridge & Cougar Dams	Cougar Dam to Leaburg Dam	9/29/2016	2016	9	29	273	Unclipped	F	82	Y	1023	Clear	12970	Y		##.###	Blue	1344					Ots0017	1
