Pedigree Name	Individual Name	MotherID	FatherID	SubBasin	Stream	IndividualSampleLocation	DateSampled	Marks	Gender	LengthFork1	Eggs%	FieldID1	DNA	ScaleNumber	CommentsGeneral	Run	SpeciesID
OtsCC18MCKR	OtsCC18MCKR_4001			McKenzie	McKenzie	Olallie Campground to Belknap	9/24/2018	Unclipped	Female	630	0 - 25%	4001	Y	17457		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4003			McKenzie	McKenzie	Olallie Campground to Belknap	9/24/2018	Unclipped	Male	600		4003	Y	17456		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4006			McKenzie	McKenzie	McKenzie Bridge to Hamlin	10/10/2018	Unclipped	Female	580	0 - 25%	4006	Y	19537		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4007			McKenzie	McKenzie	Spawning Channel	10/2/2018	Unclipped	Female	670	0 - 25%	4007	Y	11450		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4009			McKenzie	McKenzie	Spawning Channel	10/2/2018	Unclipped	Male	605		4009	Y	12985		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4017			McKenzie	South Fork McKenzie	Cougar Dam to Bridge	10/11/2018	Unclipped	Female	710	0 - 25%	4017	Y	17429		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4021			McKenzie	Horse Creek	Trail Bridge to Separation Creek	9/27/2018	Unclipped	Male	660		4021	Y	16614		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4022			McKenzie	McKenzie	Spawning Channel	10/2/2018	Unclipped	Female	640	0 - 25%	4022	Y	16617		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4023			McKenzie	McKenzie	Spawning Channel	10/2/2018	Unclipped	Female	575	0 - 25%	4023	Y	16616		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4025			McKenzie	McKenzie	Helfrich to Leaburg Lake	9/26/2018	Unclipped	Male	515		4025	Y	31642		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4026			McKenzie	McKenzie	Spawning Channel	10/2/2018	Unclipped	Female	730	25 - 50%	4026	Y	12988		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4027			McKenzie	McKenzie	Helfrich to Leaburg Lake	9/26/2018	Unclipped	Male	680		4027	Y	12308		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4028			McKenzie	South Fork McKenzie	Bridge to Mouth	10/2/2018	Unclipped	Male	660		4028	Y	12979		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4029			McKenzie	McKenzie	Spawning Channel	10/2/2018	Unclipped	Female	690	0 - 25%	4029	Y	16615		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4030			McKenzie	Horse Creek	Trail Bridge to Separation Creek	9/27/2018	Unclipped	Female	670	0 - 25%	4030	Y	14714		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4034			McKenzie	McKenzie	South Fork McKenzie to Forest Glen	9/24/2018	Unclipped	Female	660	0 - 25%	4034	Y	17392		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4035			McKenzie	McKenzie	South Fork McKenzie to Forest Glen	9/24/2018	Unclipped	Male	645		4035	Y	15558		Spring	17
