Pedigree name	Individual name	Gender	DateSampled	FieldID1	IndividualSampleLocation	LengthFork1	LengthTotal	Run	Age	Clipped	Marks	WILDorHAT?	ReleaseDate	ReleaseLocation	OldLabCode	SampleID	Stream	VialNumber	CommentsGeneral	CommentsGeneral2	CommentsGeneral4
OtsCC16MCKR	OtsCC16MCKR_1001	F	9/22/16			89				Unclipped							Cougar Reservoir to Bridge	1001			Cougar Dam to Leaburg Dam
OtsCC16MCKR	OtsCC16MCKR_1002	M	9/22/16			73				Unclipped							Bridge to Mouth	1002			Cougar Dam to Leaburg Dam
OtsCC16MCKR	OtsCC16MCKR_1003	F	9/28/16			81				Unknown							Cougar Reservoir to Bridge	1003	Damaged Adipose/Partial Clip	Only 1 Otolith Taken	Cougar Dam to Leaburg Dam
OtsCC16MCKR	OtsCC16MCKR_1004	M	9/29/16			80				Unclipped							Cougar Reservoir to Bridge	1004			Cougar Dam to Leaburg Dam
OtsCC16MCKR	OtsCC16MCKR_1005	F	9/29/16			83				Unclipped							Cougar Reservoir to Bridge	1005			Cougar Dam to Leaburg Dam
OtsCC16MCKR	OtsCC16MCKR_1006	M	9/29/16			83				Unclipped							Cougar Reservoir to Bridge	1006		"Broken  otoliths 

Blue floy tag number 5419372131150"	Cougar Dam to Leaburg Dam
OtsCC16MCKR	OtsCC16MCKR_1007	F	9/29/16			84				Unclipped							Bridge to Mouth	1007			Cougar Dam to Leaburg Dam
OtsCC16MCKR	OtsCC16MCKR_1008	F	9/29/16			83				Unclipped							Bridge to Mouth	1008			Cougar Dam to Leaburg Dam
OtsCC16MCKR	OtsCC16MCKR_1009	F	9/29/16			84				Unclipped							Bridge to Mouth	1009			Cougar Dam to Leaburg Dam
OtsCC16MCKR	OtsCC16MCKR_1010	M	9/29/16			81				Unclipped							Bridge to Mouth	1010	DNA taken but no otoliths	Could not find otoliths	Cougar Dam to Leaburg Dam
OtsCC16MCKR	OtsCC16MCKR_1011	F	9/22/16			88				Unclipped							Cougar Reservoir to Bridge	1011			Cougar Dam to Leaburg Dam
OtsCC16MCKR	OtsCC16MCKR_1012	F	10/6/16			84				Unclipped							Cougar Reservoir to Bridge	1012	1 otolith taken.		Cougar Dam to Leaburg Dam
OtsCC16MCKR	OtsCC16MCKR_1013	F	10/6/16			76				Unclipped							Cougar Reservoir to Bridge	1013			Cougar Dam to Leaburg Dam
OtsCC16MCKR	OtsCC16MCKR_1015	F	10/6/16			94				Unclipped							Cougar Reservoir to Bridge	1015			Cougar Dam to Leaburg Dam
OtsCC16MCKR	OtsCC16MCKR_1016	F	10/6/16			78				Unclipped							Bridge to Mouth	1016			Cougar Dam to Leaburg Dam
OtsCC16MCKR	OtsCC16MCKR_1021	M	9/29/16			102				Unclipped							Cougar Reservoir to Bridge	1021			Cougar Dam to Leaburg Dam
OtsCC16MCKR	OtsCC16MCKR_1022	F	9/29/16			86				Unclipped							Bridge to Mouth	1022			Cougar Dam to Leaburg Dam
OtsCC16MCKR	OtsCC16MCKR_1023	F	9/29/16			82				Unclipped							Cougar Reservoir to Bridge	1023			Cougar Dam to Leaburg Dam
OtsCC16MCKR	OtsCC16MCKR_1024	M	9/29/16			89				Unclipped							Cougar Reservoir to Bridge	1024	No otoliths	No otiliths	Cougar Dam to Leaburg Dam
OtsCC16MCKR	OtsCC16MCKR_1025	F	9/29/16			86				Unclipped							Bridge to Mouth	1025			Cougar Dam to Leaburg Dam
OtsCC16MCKR	OtsCC16MCKR_1026	F	10/11/16			65				Unclipped							NFD 1980 Bridge to Cougar Reservoir	1026			
OtsCC16MCKR	OtsCC16MCKR_1037	F	10/12/16			69				Unclipped							Cougar Reservoir to Bridge	1037			Cougar Dam to Leaburg Dam
OtsCC16MCKR	OtsCC16MCKR_1041	M	10/12/16			82				Unclipped							Bridge to Mouth	1041	Scale card missing #15556		Cougar Dam to Leaburg Dam
OtsCC16MCKR	OtsCC16MCKR_1044	F	10/11/16			81				Unclipped							Dutch Oven Campground to Rebel Creek	1044			
OtsCC16MCKR	OtsCC16MCKR_1045	F	10/5/16			79				Unclipped							Dutch Oven Campground to Rebel Creek	1045			
OtsCC16MCKR	OtsCC16MCKR_1047	F	10/10/16			86				Unclipped							Elk Creek to Frissel Campground	1047		maybe misclip	
OtsCC16MCKR	OtsCC16MCKR_1048	M	9/29/16			84				Unclipped							Cougar Reservoir to Bridge	1048			Cougar Dam to Leaburg Dam
OtsCC16MCKR	OtsCC16MCKR_1049	F	9/29/16			75				Unclipped							Cougar Reservoir to Bridge	1049			Cougar Dam to Leaburg Dam
OtsCC16MCKR	OtsCC16MCKR_1051	M	7/26/16			60				Unclipped							Leaburg Dam to Leaburg Landing	1051			Downstream of Leaburg Dam
OtsCC16MCKR	OtsCC16MCKR_1052	F	8/16/16			85				Unclipped							Leaburg Dam to Leaburg Landing	1052	Only 1 Otolith Taken		Downstream of Leaburg Dam
OtsCC16MCKR	OtsCC16MCKR_1053	M	8/16/16			87				Unclipped							Leaburg Dam to Leaburg Landing	1053			Downstream of Leaburg Dam
OtsCC16MCKR	OtsCC16MCKR_1054	F	9/20/16			79				Unclipped							Spawning Channel	1054			Upstream of South Fork McKenzie River
OtsCC16MCKR	OtsCC16MCKR_1055	M	8/29/16			93				Unclipped							Leaburg Dam to Leaburg Landing	1055			Downstream of Leaburg Dam
OtsCC16MCKR	OtsCC16MCKR_1056	F	9/21/16			94				Unclipped							Forest Glen to Rosboro Bridge	1056			Cougar Dam to Leaburg Dam
OtsCC16MCKR	OtsCC16MCKR_1057	M	9/21/16			81				Unclipped							Forest Glen to Rosboro Bridge	1057			Cougar Dam to Leaburg Dam
OtsCC16MCKR	OtsCC16MCKR_1058	M	9/21/16			64				Unclipped							Forest Glen to Rosboro Bridge	1058			Cougar Dam to Leaburg Dam
OtsCC16MCKR	OtsCC16MCKR_1059	F	9/21/16			87				Unclipped							Forest Glen to Rosboro Bridge	1059			Cougar Dam to Leaburg Dam
OtsCC16MCKR	OtsCC16MCKR_1061	M	9/21/16			89				Unclipped							Rosboro Bridge to Ben & Kay	1061			
OtsCC16MCKR	OtsCC16MCKR_1062	M	9/21/16			94				Unclipped							Rosboro Bridge to Ben & Kay	1062			
