Offspring ID,Loci typed,Candidate mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio Delta,Trio confidence
OtsAC19SFMK_0001,11,OtsAC16MCKR_0331,10,10,4,-5.44535435557264E+0000, 0.00000000000000E+0000,,OtsAC14MCKR_0119,11,11,3, 4.16859560199992E+0000, 4.16859560199992E+0000,*,11,5, 3.77408893338839E+0000, 7.30420565656098E-0001,+,
OtsAC19SFMK_0001,11,OtsAC15MCKR_0706,11,11,4, 1.29081840677895E-0002, 1.29081840677895E-0002,*,OtsAC14MCKR_0119,11,11,3, 4.16859560199992E+0000, 4.16859560199992E+0000,*,11,7, 3.04366836773230E+0000, 0.00000000000000E+0000,,
OtsAC19SFMK_0001,11,OtsAC15MCKR_0725,11,11,4,-7.42602673250669E-0001, 0.00000000000000E+0000,,OtsAC14MCKR_0119,11,11,3, 4.16859560199992E+0000, 4.16859560199992E+0000,*,11,7, 2.68238646529929E+0000, 0.00000000000000E+0000,,
OtsAC19SFMK_0001,11,OtsAC15MCKR_0706,11,11,4, 1.29081840677895E-0002, 1.29081840677895E-0002,*,OtsAC16MCKR_0304,10,10,4,-3.04393735995172E+0000, 0.00000000000000E+0000,,11,6, 1.62772440299916E+0000, 0.00000000000000E+0000,,
OtsAC19SFMK_0001,11,OtsAC15MCKR_0706,11,11,4, 1.29081840677895E-0002, 1.29081840677895E-0002,*,OtsAC14MCKR_0280,7,7,3,-5.29721787809447E+0000, 0.00000000000000E+0000,,11,5, 7.58716002054205E-0001, 0.00000000000000E+0000,,
OtsAC19SFMK_0001,11,OtsAC14MCKR_0231,11,11,6,-1.20974752849571E+0001, 0.00000000000000E+0000,,OtsAC14MCKR_0119,11,11,3, 4.16859560199992E+0000, 4.16859560199992E+0000,*,11,6, 3.78228554813842E-0001, 0.00000000000000E+0000,,
OtsAC19SFMK_0001,11,OtsAC15MCKR_0242,9,9,4,-6.51136535217318E+0000, 0.00000000000000E+0000,,OtsAC14MCKR_0119,11,11,3, 4.16859560199992E+0000, 4.16859560199992E+0000,*,11,6, 2.37458551441620E-0001, 0.00000000000000E+0000,,
OtsAC19SFMK_0001,11,OtsAC16MCKR_0350,9,9,4,-6.75170784526572E+0000, 0.00000000000000E+0000,,OtsAC14MCKR_0119,11,11,3, 4.16859560199992E+0000, 4.16859560199992E+0000,*,11,6, 1.98226204638997E-0001, 0.00000000000000E+0000,,
OtsAC19SFMK_0001,11,OtsAC15MCKR_0714,11,11,5,-7.26397742020527E+0000, 0.00000000000000E+0000,,OtsAC14MCKR_0210,9,9,4,-4.34225712272733E+0000, 0.00000000000000E+0000,,11,5, 1.34899405520425E-0001, 0.00000000000000E+0000,,
OtsAC19SFMK_0001,11,OtsAC15MCKR_0725,11,11,4,-7.42602673250669E-0001, 0.00000000000000E+0000,,OtsAC14MCKR_0280,7,7,3,-5.29721787809447E+0000, 0.00000000000000E+0000,,11,5, 2.19220768754058E-0002, 0.00000000000000E+0000,,
