offspring	mom	dad	year	type	mom.mm	dad.mm	off.age	return.year
MR10TH_001	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_002	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_003	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_004	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_005	MR07_782	UK	2007	mom.only	0	mp	3	2010
MR10TH_006	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_007	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_008	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_009	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_010	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_011	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_012	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_013	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_014	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_015	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_016	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_017	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_018	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_019	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_020	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_021	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_022	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_023	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_024	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_025	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_026	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_027	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_028	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_029	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_030	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_031	MR07_034	UK	2007	mom.only	1	mp	3	2010
MR10TH_032	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_033	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_034	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_035	UK	UK	2007	no.parent	mp	3	3	2010
MR10TH_036	MR07_432	MR07_767	2007	both	1	0	3	2010
MR10TH_037	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_038	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_039	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_040	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_041	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_042	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_043	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_044	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_045	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_046	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_047	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_048	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_049	MR07_203	MR07_461	2007	both	1	1	3	2010
MR10TH_050	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_051	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_052	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_053	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_054	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_055	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_056	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_057	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_058	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_059	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_060	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_061	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_062	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_063	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_064	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_065	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_066	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_067	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_068	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_069	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_070	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_071	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_072	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_073	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_074	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_075	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_076	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_077	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_078	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_079	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_081	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_082	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_083	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_084	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_085	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_086	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_087	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_088	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_089	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_090	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_091	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_092	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_093	MR07_221	MR07_607	2007	both	1	0	3	2010
MR10TH_094	MR07_050	UK	2007	mom.only	1	mp	3	2010
MR10TH_095	UK	MR07_061	2007	dad.only	mp	1	3	2010
MR10TH_096	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_097	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_098	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_099	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_100	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_101	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_103	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_104	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_105	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_106	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_107	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_108	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_109	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_110	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_111	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_113	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_114	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_115	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_116	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_117	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_118	UK	MR07_677	2007	dad.only	mp	1	3	2010
MR10TH_119	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_120	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_121	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_122	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_123	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_124	UK	MR07_617	2007	dad.only	mp	0	3	2010
MR10TH_125	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_126	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_127	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_128	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_130	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_131	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_132	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_133	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_134	UK	MR07_097	2007	dad.only	mp	0	3	2010
MR10TH_135	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_136	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_137	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_138	UK	MR07_810	2007	dad.only	mp	1	3	2010
MR10TH_139	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_140	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_141	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_142	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_143	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_145	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_146	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_147	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_148	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_149	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_150	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_151	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_153	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_154	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_155	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_156	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_159	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_160	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_161	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_163	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_164	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_165	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_166	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_167	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_170	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_171	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_174	MR07_278	MR07_556	2007	both	0	0	3	2010
MR10TH_175	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_176	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_177	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_178	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_179	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_180	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_183	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_185	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_187	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_188	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_189	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_190	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_191	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_192	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_193	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_194	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_195	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_196	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_197	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_199	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_200	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_201	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_202	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_203	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_204	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_205	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_206	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_207	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_209	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_210	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_211	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_212	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_214	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_215	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_216	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_217	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_222	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_223	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_224	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_226	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_227	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_228	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_237	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_238	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_241	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_242	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_243	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_244	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_245	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_246	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_247	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_248	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_250	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_251	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_252	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_253	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_254	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_255	UK	UK	mp	no.parent	mp	mp	mp	2010
MR10TH_256	MR07_403	MR07_419	2007	both	1	1	3	2010
MR10TH_258	UK	UK	mp	no.parent	mp	mp	mp	2010
