offspring	mom	dad	mom.mm	dad.mm	year	off.age	return.year
MR11_001	UK	UK	mp	mp	mp	mp	2011
MR11_002	UK	UK	mp	mp	mp	mp	2011
MR11_003	UK	UK	mp	mp	mp	mp	2011
MR11_005	UK	UK	mp	mp	mp	mp	2011
MR11_006	UK	UK	mp	mp	mp	mp	2011
MR11_007	UK	UK	mp	mp	mp	mp	2011
MR11_008	UK	UK	mp	mp	mp	mp	2011
MR11_009	UK	UK	mp	mp	mp	mp	2011
MR11_010	UK	UK	mp	mp	mp	mp	2011
MR11_011	UK	UK	mp	mp	mp	mp	2011
MR11_012	MR07_162	MR07_204	1	0	2007	4	2011
MR11_013	UK	UK	mp	mp	mp	mp	2011
MR11_014	UK	UK	mp	mp	mp	mp	2011
MR11_015	MR07_842	MR07_053	0	0	2007	4	2011
MR11_016	UK	UK	mp	mp	mp	mp	2011
MR11_017	MR07_759	UK	0	mp	2007	4	2011
MR11_018	UK	UK	mp	mp	mp	mp	2011
MR11_019	UK	UK	mp	mp	mp	mp	2011
MR11_020	MR07_092	MR07_607	1	0	2007	4	2011
MR11_021	UK	UK	mp	mp	mp	mp	2011
MR11_022	UK	UK	mp	mp	mp	mp	2011
MR11_023	UK	UK	mp	mp	mp	mp	2011
MR11_024	UK	UK	mp	mp	mp	mp	2011
MR11_025	UK	UK	mp	mp	mp	mp	2011
MR11_026	MR07_191	MR07_156	0	0	2007	4	2011
MR11_027	MR07_191	MR07_543	0	0	2007	4	2011
MR11_028	MR07_202	MR07_444	0	0	2007	4	2011
MR11_029	UK	UK	mp	mp	mp	mp	2011
MR11_030	MR07_253	MR07_113	0	0	2007	4	2011
MR11_031	UK	UK	mp	mp	mp	mp	2011
MR11_032	MR07_432	MR07_767	1	0	2007	4	2011
MR11_033	MR07_749	MR07_739	0	1	2007	4	2011
MR11_034	MR07_832	MR07_561	0	0	2007	4	2011
MR11_035	UK	UK	mp	mp	mp	mp	2011
MR11_036	MR07_389	MR07_408	0	1	2007	4	2011
MR11_037	UK	UK	mp	mp	mp	mp	2011
MR11_038	MR07_098	MR07_566	0	0	2007	4	2011
MR11_039	MR07_176	UK	0	mp	2007	4	2011
MR11_040	UK	UK	mp	mp	mp	mp	2011
MR11_041	UK	UK	mp	mp	mp	mp	2011
MR11_042	UK	UK	mp	mp	mp	mp	2011
MR11_043	MR07_147	MR07_595	0	0	2007	4	2011
MR11_044	MR07_454	MR07_649	0	0	2007	4	2011
MR11_045	UK	UK	mp	mp	mp	mp	2011
MR11_046	MR07_118	MR07_266	0	0	2007	4	2011
MR11_047	MR07_842	MR07_807	0	1	2007	4	2011
