year	Locus	k	N	HObs	HExp	PIC	NE-1P	NE-2P	NE-PP	NE-I	NE-SI	HW	F(Null)
2010	Locus1	21	962	0.931	0.916	0.909	0.294	0.172	0.048	0.013	0.296	NS	-0.0090
2010	Locus2	55	961	0.927	0.941	0.938	0.209	0.118	0.023	0.006	0.281	NS	0.0062
2010	Locus3	37	966	0.934	0.936	0.932	0.228	0.130	0.028	0.008	0.284	NS	0.0008
2010	Locus4	25	964	0.894	0.920	0.915	0.277	0.161	0.042	0.012	0.293	***	0.0140
2010	Locus5	32	965	0.923	0.936	0.933	0.225	0.128	0.027	0.007	0.284	*	0.0074
2010	Locus6	46	962	0.941	0.952	0.950	0.176	0.097	0.016	0.004	0.275	NS	0.0056
2010	Locus7	60	964	0.961	0.954	0.951	0.170	0.093	0.015	0.004	0.274	NS	-0.0040
2010	Locus8	21	963	0.895	0.912	0.906	0.298	0.175	0.048	0.014	0.298	NS	0.0088
2010	Locus9	36	963	0.870	0.948	0.945	0.193	0.107	0.020	0.005	0.278	***	0.0427
2010	Locus10	22	964	0.883	0.881	0.869	0.385	0.238	0.085	0.025	0.316	NS	-0.0014
2010	Locus11	18	961	0.860	0.858	0.843	0.439	0.280	0.114	0.035	0.330	NS	-0.0019
2011	Locus1	23	2015	0.921	0.918	0.912	0.287	0.167	0.046	0.013	0.294	NS	-0.0018
2011	Locus2	59	2014	0.921	0.938	0.935	0.216	0.122	0.024	0.007	0.283	NS	0.0089
2011	Locus3	37	2019	0.940	0.939	0.935	0.218	0.123	0.026	0.007	0.282	NS	-0.0004
2011	Locus4	30	2017	0.897	0.919	0.913	0.280	0.163	0.043	0.012	0.294	***	0.0118
2011	Locus5	35	2017	0.931	0.937	0.933	0.224	0.127	0.027	0.007	0.284	NS	0.0030
2011	Locus6	51	2014	0.952	0.953	0.951	0.172	0.095	0.016	0.004	0.275	NS	0.0001
2011	Locus7	66	2017	0.963	0.953	0.951	0.171	0.094	0.016	0.004	0.274	*	-0.0056
2011	Locus8	26	2019	0.914	0.918	0.913	0.281	0.164	0.043	0.012	0.294	*	0.0021
2011	Locus9	36	2017	0.893	0.946	0.943	0.199	0.111	0.021	0.006	0.279	***	0.0287
2011	Locus10	23	2018	0.882	0.886	0.875	0.373	0.229	0.080	0.024	0.313	NS	0.0024
2011	Locus11	19	2015	0.858	0.861	0.847	0.431	0.273	0.109	0.033	0.328	NS	0.0015
2012	Locus1	26	3505	0.921	0.917	0.911	0.288	0.168	0.046	0.013	0.295	*	-0.0025
2012	Locus2	64	3505	0.912	0.937	0.934	0.219	0.124	0.025	0.007	0.283	***	0.0127
2012	Locus3	37	3509	0.932	0.939	0.936	0.217	0.122	0.025	0.007	0.282	**	0.0042
2012	Locus4	31	3502	0.895	0.919	0.914	0.279	0.163	0.043	0.012	0.293	***	0.0131
2012	Locus5	39	3505	0.936	0.936	0.933	0.225	0.128	0.027	0.007	0.284	NS	-0.0004
2012	Locus6	58	3501	0.953	0.952	0.950	0.174	0.096	0.016	0.004	0.275	***	-0.0006
2012	Locus7	68	3503	0.947	0.953	0.951	0.171	0.094	0.015	0.004	0.275	**	0.0030
2012	Locus8	25	3500	0.919	0.919	0.913	0.280	0.163	0.043	0.012	0.294	**	-0.0004
2012	Locus9	39	3505	0.907	0.944	0.941	0.205	0.114	0.023	0.006	0.280	***	0.0196
