year	Locus	PIC	k	HObs	HExp	HW	DropRateEst	OtherErrorRateEst
2010	Ot201	0.909	21	0.931	0.916	NS	7e-4	0.0213
2010	Ot209	0.938	55	0.927	0.941	NS	0.0114	0.0218
2010	Ot249	0.932	37	0.934	0.936	NS	0	0.0245
2010	Ot253	0.915	25	0.894	0.92	***	0.0157	0.0259
2010	Ot215	0.933	32	0.923	0.936	*	0	0.012
2010	Ot311	0.95	46	0.941	0.952	NS	0.0111	0.0136
2010	Ot409	0.951	60	0.961	0.954	NS	0.0023	0.0261
2010	Ot211	0.906	21	0.895	0.912	NS	0.0064	0.007
2010	Ot208	0.945	36	0.87	0.948	***	0.0397	0.023
2010	Ot212	0.869	22	0.883	0.881	NS	0.0016	0.0223
2010	Ot515	0.843	18	0.86	0.858	NS	0.0073	0.0112
2011	Ot201	0.912	23	0.921	0.918	NS	0.002	0.0076
2011	Ot209	0.935	59	0.921	0.938	NS	0.0129	0.0127
2011	Ot249	0.935	37	0.94	0.939	NS	0.002	0.0279
2011	Ot253	0.913	30	0.897	0.919	***	0.011	0.0073
2011	Ot215	0.933	35	0.931	0.937	NS	0.0023	0.007
2011	Ot311	0.951	51	0.952	0.953	NS	0.0039	0.0175
2011	Ot409	0.951	66	0.963	0.953	*	0.001	0.0077
2011	Ot211	0.913	26	0.914	0.918	*	0.005	0.0103
2011	Ot208	0.943	36	0.893	0.946	***	0.0274	0.0158
2011	Ot212	0.875	23	0.882	0.886	NS	0.0035	0.0104
2011	Ot515	0.847	19	0.858	0.861	NS	0.0066	0.0079
2012	Ot201	0.911	26	0.921	0.917	*	0.0046	0.0032
2012	Ot209	0.934	64	0.912	0.937	***	0.0159	0.0168
2012	Ot249	0.936	37	0.932	0.939	**	0.0024	0.0065
2012	Ot253	0.914	31	0.895	0.919	***	0.012	0.0043
2012	Ot215	0.933	39	0.936	0.936	NS	0	0.0072
2012	Ot311	0.95	58	0.953	0.952	***	0.0041	0.0081
2012	Ot409	0.951	68	0.947	0.953	**	0.0035	0.0108
2012	Ot211	0.913	25	0.919	0.919	**	0.0031	0.0011
2012	Ot208	0.941	39	0.907	0.944	***	0.018	0.0076
2012	Ot212	0.881	24	0.886	0.891	*	0.0023	0.0117
2012	Ot515	0.856	21	0.862	0.869	**	0.0076	0.0039
2013	Ot201	0.91	27	0.924	0.916	**	0.0043	0.0015
2013	Ot209	0.936	68	0.919	0.939	***	0.0141	0.0069
2013	Ot249	0.936	37	0.937	0.94	**	0.0013	0.007
2013	Ot253	0.914	31	0.902	0.92	***	0.0101	0
2013	Ot215	0.936	37	0.936	0.94	NS	0.0037	0.0015
2013	Ot311	0.951	55	0.952	0.953	***	0.0029	0.0083
2013	Ot409	0.952	68	0.95	0.954	***	0.0026	0.0099
2013	Ot211	0.911	25	0.916	0.917	**	8e-4	0.0032
2013	Ot208	0.94	38	0.905	0.943	***	0.0186	0.002
2013	Ot212	0.884	25	0.894	0.894	NS	0.0013	0.0018
2013	Ot515	0.852	21	0.859	0.865	*	0.0026	0.0016
2014	Ot201	0.91	28	0.919	0.916	***	0.0046	0.0047
2014	Ot209	0.937	69	0.923	0.94	***	0.0126	0.0081
2014	Ot249	0.937	37	0.939	0.94	*	0.0025	0.0074
2014	Ot253	0.914	36	0.907	0.92	***	0.0056	0.0024
2014	Ot215	0.937	37	0.938	0.941	NS	0.0033	0.0086
2014	Ot311	0.951	54	0.956	0.953	***	0.0012	0.0066
